what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1332432388691
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1332432388691
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332432388691
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332432388691
java.vm.specification.version,sysinfo,,,"1.0",1332432388691
java.vm.vendor,sysinfo,,,"Apple Inc.",1332432388691
java.vm.version,sysinfo,,,"20.4-b02-402",1332432388691
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1332432388957
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1332432389306
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1332432389525
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1332432389595
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1332432389647
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1332432389833
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1332432390927
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1332432390998
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1332432391148
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1332432391275
started,bundle,org.eclipse.swtbot.eclipse.ui,2.0.5.20111003_1754-3676ac8-dev-e36,"org.eclipse.swtbot.eclipse.ui",1332432391397
started,bundle,com.windowtester.eclipse.ui.update.notifier,6.0.0.r37x201108222343,"com.windowtester.eclipse.ui.update.notifier",1332432391490
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1332432391869
started,bundle,com.windowtester.swing.recorder,6.0.0.r37x201108222343,"com.windowtester.swing.recorder",1332432391903
started,bundle,com.windowtester.swt.recorder,6.0.0.r37x201108222343,"com.windowtester.swt.recorder",1332432392050
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1332432392817
